Key,English,Spanish
Prueba.prueba,It Works,Funciona
Letter.tittle,Letters,Cartas
Letter.tittle.1,Letter 1,Carta 1
Letter.body.1,Test number 1 hello,Prueba número 1 hola
Letter.1.1,"If you're reading this, you can't keep running from your past. It's time to face it. I'm Miguel, 19 years old, living a life few would understand. No one knows why I isolated myself. The truth is darker than you think.","Si estás leyendo esto, es porque no puedes seguir huyendo de tu pasado. Es hora de enfrentarlo. Soy Miguel, tengo 19 años y llevo una vida que pocos entenderían. Nadie sabe por qué me aislé del mundo. La verdad es más oscura de lo que imaginas."
Letter.1.2,Miguel: Hello? Who's there?,Miguel: ¿Hola? ¿Quién esta ahí?
Letter.1.3,"????: Don't worry about me, you need to find your way out before its too late....","????: No te preocupes por mi, debes salir de aqui antes de que sea muy tarde..."
Letter.1.4,Miguel: Hello??  before is too late for what? ........ HELLO?,Miguel: ¿Antes de que sea demasiado tarde para qué? ..... ¿HOLA?
Dialog.1.1,What a day... I should probably rest for a bit.,Vaya día... Será mejor que descanse un rato.
Dialog.1.2,"Finally, I can see the letter my mom left.",Por fin podré ver la carta que dejó mi mamá.
Dialog.1.3,"I should call my mom, but I need to rest first. I don't want to relive those memories while I'm this tired.","Debería llamar a mi mamá, pero es mejor descansar primero. No quiero revivir esos recuerdos estando tan cansado."
DIalog.Letter.1,"""Miguel, 
I hope you are doing well. I can never apologize enough for everything that happened, but please keep in touch with me. 
Love, Mom.""","""Miguel, 
Espero que te esté yendo bien. Nunca podré disculparme lo suficiente por todo lo que pasó, pero por favor mantente en contacto conmigo. 
Con amor, Mamá."""
Dialog.1.4,"I'd love to get back to reading, but with so much work, it's impossible. Still, I need to keep investigating what happened to me.","Me encantaría retomar la lectura, pero con tanto trabajo es imposible. Aun así, debo seguir investigando qué me pasó."
Dialog.1.5,I hope to be able to fall asleep tonight.,Espero poder conciliar el sueño esta noche.
Dialog.2.1,"What's going on? This isn't my room. I fell asleep here last night, but everything looks... different. The light, the furniture... what happened while I was sleeping? I need to investigate this.","¿Qué está pasando? Esta no es mi habitación. Anoche me dormí aquí, pero todo parece... distinto. La luz, los muebles... ¿qué ha pasado mientras dormía? Debo investigar esto."